Pixel, Red, Green, Blue, Fire
1221,201,169,132,0
1222,198,166,129,0
1223,193,156,135,0
1224,195,149,117,0
1225,208,166,129,0
1226,202,170,133,0
1227,191,159,122,0
1228,206,164,129,0
1229,206,156,130,0
1230,214,163,133,0
1231,203,171,132,0
1232,191,113,69,0
1233,195,117,73,0
1234,216,175,135,0
1235,192,141,111,0
1236,197,146,116,0
1237,221,167,138,0
1238,204,170,132,0
1239,195,114,67,0
1240,191,158,136,0
1241,195,155,124,0
1242,214,176,135,0
1243,192,152,132,0
1244,197,154,124,0
1245,201,158,128,0
1246,207,158,125,0
1247,220,171,138,0
1248,215,171,136,0
1249,206,169,132,0
1250,198,118,68,0
1251,199,119,69,0
1252,193,158,127,0
1253,197,158,122,0
1254,204,165,129,0
1255,215,179,137,0
1256,213,177,135,0
1257,205,162,136,0
1258,197,154,128,0
1259,198,151,122,0
1260,195,148,119,0
1261,198,156,123,0
1262,198,156,123,0
1263,200,158,125,0
1264,204,161,131,0
1265,192,149,119,0
1266,197,158,124,0
1267,200,161,127,0
1268,202,168,132,0
1269,203,169,133,0
1270,203,163,134,0
1271,200,160,131,0
1272,209,169,138,0
1273,210,170,139,0
1274,217,173,138,0
1275,209,172,135,0
1276,199,122,71,0
1277,199,122,71,0
1278,195,157,129,0
1279,194,152,117,0
1280,216,180,138,0
1281,213,177,135,0
1282,198,157,133,0
1283,204,163,139,0
1284,213,164,131,0
1285,210,161,128,0
1286,208,154,121,0
1287,205,151,118,0
1288,207,159,121,0
1289,210,162,124,0
1290,211,165,131,0
1291,212,166,132,0
1292,214,168,132,0
1293,215,169,133,0
1294,210,167,127,0
1295,208,165,125,0
1296,213,171,134,0
1297,218,176,139,0
1298,216,172,137,0
1299,205,166,132,0
1300,200,127,75,0
1301,199,126,74,0
1302,195,153,120,0
1303,210,176,138,0
1304,191,156,136,0
1305,209,166,138,0
1306,209,166,138,0
1307,224,170,129,0
1308,228,174,131,0
1309,219,165,122,0
1310,219,168,134,0
1311,220,169,135,0
1312,221,170,138,0
1313,222,171,139,0
1314,223,174,139,0
1315,223,174,139,0
1316,225,177,139,0
1317,212,173,139,0
1318,211,172,138,0
1319,205,165,134,0
1320,198,128,73,0
1321,194,124,69,0
1322,191,151,120,0
1323,210,176,138,0
1324,209,175,137,0
1325,194,157,136,0
1326,194,157,138,0
1327,216,166,138,0
1328,234,179,132,0
1329,226,171,124,0
1330,232,176,136,0
1331,226,170,130,0
1332,220,169,135,0
1333,220,169,135,0
1334,218,176,139,0
1335,215,173,136,0
1336,211,172,136,0
1337,211,172,136,0
1338,197,157,130,0
1339,194,122,65,0
1340,194,122,65,0
1341,208,174,136,0
1342,209,175,137,0
1343,197,155,138,0
1344,238,182,138,0
1345,236,180,136,0
1346,230,177,139,0
1347,228,175,137,0
1348,214,175,137,0
1349,212,173,135,0
1350,210,173,136,0
1351,210,173,136,0
1352,198,128,73,0
1353,197,157,128,0
1354,212,175,138,0
1355,211,174,137,0
