Pixel, Red, Green, Blue, Fire
1291,255,178,127,0
1292,255,184,132,0
1293,255,188,138,0
1294,255,193,139,0
1295,255,209,139,0
1296,255,203,136,0
1297,255,196,131,0
1298,255,192,130,0
1299,255,185,127,0
1300,255,180,122,0
1301,252,176,118,0
1302,238,162,104,0
1303,239,164,106,0
1304,239,164,107,0
1305,233,158,101,0
1306,228,152,100,0
1307,226,150,100,0
1308,224,148,99,0
1309,221,144,98,0
1310,220,143,99,0
1311,218,141,99,0
1312,213,138,99,0
1313,210,134,98,0
1314,207,131,97,0
1315,205,129,95,0
1316,201,125,93,0
1317,199,123,91,0
1318,198,121,91,0
1319,195,118,90,0
1320,192,115,87,0
1321,195,122,90,0
1322,199,124,92,0
1323,202,126,92,0
1324,210,132,93,0
1325,216,134,94,0
1326,222,139,97,0
1327,230,143,100,0
1328,239,146,103,0
1329,247,150,105,0
1330,253,155,108,0
1331,255,159,110,0
1332,255,166,117,0
1333,255,169,118,0
1334,255,173,122,0
1335,255,177,125,0
1336,255,182,130,0
1337,255,187,134,0
1338,255,201,135,0
1339,255,195,133,0
1340,255,188,129,0
1341,255,182,125,0
1342,253,176,120,0
1343,240,164,106,0
1344,243,167,109,0
1345,242,165,109,0
1346,236,159,103,0
1347,231,154,102,0
1348,229,151,102,0
1349,225,149,100,0
1350,223,146,100,0
1351,222,145,101,0
1352,220,143,101,0
1353,216,138,100,0
1354,213,135,97,0
1355,211,133,97,0
1356,208,130,94,0
1357,202,126,92,0
1358,200,124,92,0
1359,199,122,92,0
1360,197,120,92,0
1361,193,116,90,0
1362,191,114,88,0
1363,195,122,90,0
1364,200,124,92,0
1365,204,125,92,0
1366,212,133,94,0
1367,218,136,96,0
1368,224,141,99,0
1369,232,145,102,0
1370,241,148,105,0
1371,249,152,107,0
1372,255,157,110,0
1373,255,160,111,0
1374,255,168,118,0
1375,255,172,121,0
1376,255,175,124,0
1377,255,181,128,0
1378,255,185,132,0
1379,255,191,137,0
1380,255,200,139,0
1381,255,193,133,0
1382,255,185,127,0
1383,254,179,122,0
1384,245,169,111,0
