RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
205.009,170.122,125.474,10.575,11.4251,9.41155,0.19601,0.0105687,7.08952e-005,2.76004e-006,3.23235e-011,-7.90178e-008,2.1114e-011,0
195.882,163.705,117.26,4.99885,9.18104,13.2517,0.166135,0.000382696,0.000143699,7.30785e-007,7.48879e-012,-1.42961e-008,-6.59212e-020,0
195.851,158.277,129.915,3.97855,14.3122,5.47268,1.64444,2.58979,0.0341545,0.0150786,0.000325692,0.0170412,0.000104961,0
196.25,132.625,129.625,2.58602,4.74177,4.74177,0.169922,5.12865e-005,0.000643998,2.6822e-007,3.52517e-012,-1.92085e-009,2.15177e-017,0
198.819,147.025,114.131,6.82526,9.50054,11.1414,0.179424,0.00240161,0.000867873,1.29501e-005,-3.36526e-010,-4.33584e-007,-1.33101e-009,0
213.523,149.098,107.041,14.7572,39.8292,18.2763,1.62262,1.04624,0.0177846,0.283475,-0.011577,0.289303,-0.016465,0
230.043,209.301,91.5474,22.0512,31.3353,24.4968,0.266494,0.0426279,0.00154603,0.000474827,3.94309e-007,8.83986e-005,-1.00157e-007,0
196.396,186.857,108.338,3.67056,8.44419,11.9871,0.166135,0.000382696,0.000143699,7.30788e-007,7.48884e-012,-1.42961e-008,-5.85205e-018,0
196.446,186.137,109.173,3.8402,9.22789,11.8919,0,0,0,0,0,0,0,0
196.446,186.137,109.173,3.8402,9.22789,11.8919,0,0,0,0,0,0,0,0
195.66,186.887,108.913,3.4406,8.98928,11.3143,0.171488,0.00313285,2.0247e-018,7.62133e-019,9.03227e-037,2.40785e-020,2.8369e-037,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
208.768,162.996,127.022,10.4914,10.0708,9.48063,0.754065,0.521011,0.0200586,0.00274418,-6.16533e-006,-0.00123023,1.94037e-005,0
196.228,187.193,106.392,3.65957,7.979,12.1537,1.33337,0.797609,3.22669,2.57721,7.42288,2.26985,0.367004,0
196.228,187.193,106.392,3.65957,7.979,12.1537,1.33337,0.797609,3.22669,2.57721,7.42288,2.26985,0.367004,0
197.061,187.277,106.62,4.42687,9.07265,12.3247,0.975874,0.194569,0.44316,0.38962,0.161062,0.167847,0.0164324,0
209.288,155.597,114.77,13.1285,31.2961,15.3048,0.171488,0.00313285,7.3505e-020,1.04817e-019,9.19995e-039,-5.70188e-021,8.39756e-041,0
198.54,186.277,105.361,4.8662,12.0806,12.8838,0,0,0,0,0,0,0,0
200.361,186.599,105.731,5.9502,15.2969,13.158,1.19342,1.21772,0.474745,0.418058,0.18619,0.445375,-0.00454366,0
201.523,184.825,107.031,6.53318,18.197,13.1258,0.42057,0.111692,0.0202549,0.00770673,8.7903e-005,0.00188112,3.92984e-005,0
201.975,185.132,106.556,6.90796,18.7184,13.4163,12.0416,127.947,870.181,882.717,773617,9979.31,-5423.9,0
201.921,186.182,106.894,6.8518,17.7594,13.5373,0.628472,0.0619441,0.0111928,0.0013937,5.21949e-006,0.000210659,-1.74852e-006,0
202.767,184.391,107.027,7.35339,20.8784,14.0353,0.22952,0.0225045,0.000859587,0.000124975,2.87342e-009,-1.21558e-006,4.08611e-008,0
201.523,184.825,107.031,6.53318,18.197,13.1258,0.42057,0.111692,0.0202549,0.00770673,8.7903e-005,0.00188112,3.92984e-005,0
195.75,186.297,107.866,3.58149,8.70775,11.2972,0.25,0.0347222,1.40101e-016,7.89157e-016,1.48958e-031,4.66961e-017,2.16023e-031,0
203.463,182.439,106.276,8.36714,23.0567,13.8834,0.183811,0.00313771,0.000462533,1.45565e-005,1.04469e-009,-1.99445e-007,5.79024e-010,0
203.559,179.428,107.027,9.02789,26.266,14.4334,0.17266,0.00124958,0.000454742,3.69568e-006,7.57633e-011,8.19184e-008,-1.312e-010,0
210.987,154.131,108.861,14.4069,36.7703,17.1729,1.14403,0.496283,0.788016,0.193228,0.0708069,0.117209,-0.0259154,0
203.559,179.428,107.027,9.02789,26.266,14.4334,0.17266,0.00124958,0.000454742,3.69568e-006,7.57633e-011,8.19184e-008,-1.312e-010,0
205.588,175.402,109.117,10.811,30.8431,14.9317,0.177193,0.0050265,2.58358e-005,7.10151e-007,2.87335e-012,4.25158e-008,9.98324e-013,0
207.211,175.021,111.655,11.999,32.2041,14.7609,0,0,0,0,0,0,0,0
207.467,177.929,111.464,11.6753,29.4881,14.5636,0.228012,0.022136,0.000221059,1.61333e-005,7.90032e-010,-9.41278e-007,-5.51481e-010,0
204.527,178.201,110.787,9.66099,27.196,13.634,0.506394,0.19981,0.00435929,0.000687004,1.91095e-008,-1.69636e-005,1.18875e-006,0
202.456,181.372,108.576,7.77965,22.7632,12.9883,0,0,0,0,0,0,0,0
202.456,181.372,108.576,7.77965,22.7632,12.9883,0,0,0,0,0,0,0,0
199.175,187.181,106.061,5.60391,12.5882,12.6588,2.32724,3.39112,11.041,9.91322,103.696,17.9019,1.78948,0
196.834,187.733,107.711,4.40337,8.4817,12.005,0.555556,0.197531,0.00857339,0.00165981,-6.26128e-006,-0.000737693,-1.58446e-012,0
